FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
01972.*A,NFG,CAMP PENDLETON MCAS (MUNN FIELD),OCEANSIDE,CA,AWP,LAX,PR,33-18-04.5204N,117-21-18.5867W,MN,,NON-NPIAS,,Y,,,0,0	,03/21	,ASPH,6005,200 
02422.01*A,38CA,CASHEN,WASCO,CA,AWP,LAX,PR,35-41-29.8430N,119-29-19.4270W,PR,,NON-NPIAS,,N,,,4,0	,14/32	,ASPH,4000,100 
01886.3*A,MER,CASTLE,ATWATER,CA,AWP,SFO,PU,37-22-49.7000N,120-34-05.5000W,PU,,General Aviation,,Y,100LLA,,81,103363	,13/31	,ASPH-CONC-G,11802,150 
01276.*A,AVX,CATALINA,AVALON,CA,AWP,LAX,PU,33-24-17.9900N,118-24-56.7700W,PR,,NON-NPIAS,,N,,,6,16473	,04/22	,ASPH-F,3000,75 
02221.021*H,6CA3,CATALINA AIR-SEA TERMINAL,SAN PEDRO,CA,AWP,LAX,PR,33-44-57.0660N,118-16-29.2550W,PU,,NON-NPIAS,,N,A,,0,0	,H1	,ASPH,150,100 
01384.*A,O59,CEDARVILLE,CEDARVILLE,CA,AWP,SFO,PU,41-33-13.0000N,120-09-56.2000W,PU,,General Aviation,,N,,,4,2350	,02/20	,ASPH-G,4415,50 
02287.1*A,CA40,CENTRAL VALLEY AVIATION INC,SELMA,CA,AWP,SFO,PR,36-31-16.8210N,119-40-12.4810W,PR,,NON-NPIAS,,N,,,3,0	,N/S	,TRTD-DIRT,2600,150 
01400.512*A,67CA,CHAPMAN FARMS,CHOWCHILLA,CA,AWP,SFO,PR,37-04-21.8010N,120-22-41.6400W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,ASPH,3000,20 
02260.*A,STS,CHARLES M SCHULZ - SONOMA COUNTY,SANTA ROSA,CA,AWP,SFO,PU,38-30-34.8504N,122-48-46.4360W,PU,I B U 05/1973,Primary,Non-Hub,Y,100LLA,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,311,73576	,02/20	,ASPH-G,5202,100 
02260.*A,STS,CHARLES M SCHULZ - SONOMA COUNTY,SANTA ROSA,CA,AWP,SFO,PU,38-30-34.8504N,122-48-46.4360W,PU,I B U 05/1973,Primary,Non-Hub,Y,100LLA,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,311,73576	,14/32	,ASPH-G,6000,150 
01390.*A,49X,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,CA,AWP,LAX,PU,34-31-44.0000N,114-25-55.1000W,PU,,General Aviation,,N,,,0,4000	,16/34	,ASPH-G,5000,75 
01395.*A,CIC,CHICO MUNI,CHICO,CA,AWP,SFO,PU,39-47-43.4000N,121-51-30.3000W,PU,III A U 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AGRI  AVNCS  CHTR  INSTR  RNTL  SALES,105,50160	,13L/31R	,ASPH-G,6724,150 
01395.*A,CIC,CHICO MUNI,CHICO,CA,AWP,SFO,PU,39-47-43.4000N,121-51-30.3000W,PU,III A U 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AGRI  AVNCS  CHTR  INSTR  RNTL  SALES,105,50160	,13R/31L	,ASPH-F,3000,60 
01397.7*A,NID,CHINA LAKE NAWS (ARMITAGE FLD),CHINA LAKE,CA,AWP,LAX,PR,35-41-08.3144N,117-41-30.5444W,MN,,NON-NPIAS,,Y,,,0,0	,03/21	,PEM,9994,200 
01397.7*A,NID,CHINA LAKE NAWS (ARMITAGE FLD),CHINA LAKE,CA,AWP,LAX,PR,35-41-08.3144N,117-41-30.5444W,MN,,NON-NPIAS,,Y,,,0,0	,08/26	,PEM,7703,200 
01397.7*A,NID,CHINA LAKE NAWS (ARMITAGE FLD),CHINA LAKE,CA,AWP,LAX,PR,35-41-08.3144N,117-41-30.5444W,MN,,NON-NPIAS,,Y,,,0,0	,14/32	,PEM,9014,200 
01398.*A,CNO,CHINO,CHINO,CA,AWP,LAX,PU,33-58-29.2055N,117-38-11.3382W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  TOW,479,164588	,03/21	,ASPH-G,4919,150 
01398.*A,CNO,CHINO,CHINO,CA,AWP,LAX,PU,33-58-29.2055N,117-38-11.3382W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  TOW,479,164588	,08L/26R	,ASPH-G,4858,150 
01398.*A,CNO,CHINO,CHINO,CA,AWP,LAX,PU,33-58-29.2055N,117-38-11.3382W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  TOW,479,164588	,08R/26L	,ASPH-G,7000,150 
01399.*A,L77,CHIRIACO SUMMIT,CHIRIACO SUMMIT,CA,AWP,LAX,PU,33-39-53.6000N,115-42-36.0000W,PU,,NON-NPIAS,,N,,,0,6000	,06/24	,ASPH-P,4600,50 
01400.5*A,2O6,CHOWCHILLA,CHOWCHILLA,CA,AWP,SFO,PU,37-06-47.8000N,120-14-49.2000W,PU,,General Aviation,,N,,AGRI,19,6700	,12/30	,ASPH-F,3253,60 
01349.5*A,60CL,CHP ACADEMY,BRYTE,CA,AWP,SFO,PR,38-35-55.6580N,121-33-37.8430W,PU,,NON-NPIAS,,N,,,1,0	,05/23	,ASPH,1400,24 
01349.5*A,60CL,CHP ACADEMY,BRYTE,CA,AWP,SFO,PR,38-35-55.6580N,121-33-37.8430W,PU,,NON-NPIAS,,N,,,1,0	,16/34	,ASPH,1200,20 
01668.1*A,9CL2,CHRISTENSEN RANCH,HOLLISTER,CA,AWP,SFO,PR,36-52-17.8320N,121-20-13.7540W,PR,,NON-NPIAS,,N,,,0,0	,07/25	,ASPH,3000,50 
02235.03*A,CA97,CHRISTY AIRSTRIP,SANTA BARBARA,CA,AWP,LAX,PR,34-01-11.0140N,119-51-10.4640W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,TURF,2507,50 
02298.81*A,3CA9,CLARK RANCH,SOLEDAD,CA,AWP,SFO,PR,36-21-47.8740N,121-18-36.7430W,PR,,NON-NPIAS,,N,,,0,0	,13/31	,ASPH,2400,60 
01335.11*H,20CA,CLAYTON,BLYTHE,CA,AWP,LAX,PR,33-36-14.0880N,114-38-42.8470W,PR,,NON-NPIAS,,N,100LL,,0,0	,H1	,DIRT,150,125 
01363.*A,CLR,CLIFF HATFIELD MEMORIAL,CALIPATRIA,CA,AWP,LAX,PU,33-07-52.8000N,115-31-17.0000W,PU,,NON-NPIAS,,N,,AGRI,0,1500	,08/26	,ASPH-F,3423,50 
01411.1*A,O60,CLOVERDALE MUNI,CLOVERDALE,CA,AWP,SFO,PU,38-46-33.4973N,122-59-32.6997W,PU,,General Aviation,,N,100LL,INSTR  PAJA  RNTL  SALES,17,10900	,14/32	,ASPH-G,3147,60 
01429.*A,O22,COLUMBIA,COLUMBIA,CA,AWP,SFO,PU,38-01-49.5000N,120-24-52.4000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  INSTR  RNTL  SALES,104,40000	,11/29	,TURF-G,2607,50 
01429.*A,O22,COLUMBIA,COLUMBIA,CA,AWP,SFO,PU,38-01-49.5000N,120-24-52.4000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  INSTR  RNTL  SALES,104,40000	,17/35	,ASPH-G,4673,75 
01431.1*A,O08,COLUSA COUNTY,COLUSA,CA,AWP,SFO,PU,39-10-44.4019N,121-59-36.0124W,PU,,General Aviation,,N,100LL,AGRI  CHTR  INSTR  RNTL,37,28000	,13/31	,ASPH-G,3035,60 
02187.32*H,CA30,COMMODORE,SAN FRANCISCO,CA,AWP,SFO,PR,37-48-38.7410N,122-24-52.8960W,PR,,NON-NPIAS,,N,A,,4,0	,H1	,ASPH,150,150 
02281.*C,22CA,COMMODORE CENTER,SAUSALITO,CA,AWP,SFO,PR,37-52-47.7350N,122-30-48.9060W,PR,,NON-NPIAS,,N,100LL,CHTR  INSTR  SURV,4,2510	,11/29	,WATER,10000,2400 
01434.*A,CPM,COMPTON/WOODLEY,COMPTON,CA,AWP,LAX,PU,33-53-23.7000N,118-14-37.7000W,PU,,Reliever,,N,100LL,INSTR  RNTL  SALES,166,66000	,07L/25R	,ASPH-G,3323,60 
01434.*A,CPM,COMPTON/WOODLEY,COMPTON,CA,AWP,LAX,PU,33-53-23.7000N,118-14-37.7000W,PU,,Reliever,,N,100LL,INSTR  RNTL  SALES,166,66000	,07R/25L	,ASPH-G,3322,60 
02379.*A,2CA2,CONES FIELD,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-09-46.0060N,116-02-53.0070W,PR,,NON-NPIAS,,N,,,0,0	,05/23	,DIRT,1400,100 
02379.*A,2CA2,CONES FIELD,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-09-46.0060N,116-02-53.0070W,PR,,NON-NPIAS,,N,,,0,0	,12/30	,DIRT,1050,450 
02379.*A,2CA2,CONES FIELD,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-09-46.0060N,116-02-53.0070W,PR,,NON-NPIAS,,N,,,0,0	,17/35	,DIRT,1300,100 
01588.02*A,02CL,CONOVER AIR LODGE,FRAZIER PARK,CA,AWP,LAX,PR,34-45-39.9310N,119-03-32.3750W,PR,,NON-NPIAS,,N,,,1,0	,16/34	,DIRT,3000,60 
01778.6*A,CA10,COONROD RANCH,LITTLE SHASTA,CA,AWP,SFO,PR,41-37-01.5330N,122-19-09.0570W,PR,,NON-NPIAS,,N,,,2,0	,15/33	,DIRT,3000,100 
01439.*A,CRO,CORCORAN,CORCORAN,CA,AWP,SFO,PR,36-06-09.5000N,119-35-40.8000W,PR,,NON-NPIAS,,N,,AGRI,10,5600	,13/31	,ASPH-G,3800,50 
01443.*A,0O4,CORNING MUNI,CORNING,CA,AWP,SFO,PU,39-56-46.0000N,122-10-16.0000W,PU,,General Aviation,,N,,INSTR  RNTL,17,8718	,17/35	,ASPH-G,2699,60 
01447.3*A,AJO,CORONA MUNI,CORONA,CA,AWP,LAX,PU,33-53-51.5547N,117-36-08.7831W,PU,,General Aviation,,N,100LLA,INSTR  RNTL  SALES,218,50000	,07/25	,ASPH-G,3200,60 
02263.*A,0CA3,CRAWFORD,SANTA YNEZ,CA,AWP,LAX,PR,34-35-14.9570N,120-00-48.5130W,PR,,NON-NPIAS,,N,,,1,0	,10/28	,ASPH,2100,20 
01266.1*A,5CL8,CREEKSIDE,ARVIN,CA,AWP,LAX,PR,35-10-34.1000N,118-55-23.3360W,PR,,NON-NPIAS,,N,,,5,0	,16/34	,ASPH-TURF,2000,100 
02379.1*A,2CA3,CROSSWINDS,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-09-36.0040N,115-59-51.0020W,PR,,NON-NPIAS,,N,,,3,0	,09/27	,DIRT,2600,200 
02379.1*A,2CA3,CROSSWINDS,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-09-36.0040N,115-59-51.0020W,PR,,NON-NPIAS,,N,,,3,0	,18/36	,DIRT,1400,200 
01469.*A,CA93,CROWS LANDING,CROWS LANDING,CA,AWP,SFO,PR,37-24-28.7660N,121-06-33.7540W,PU,,NON-NPIAS,,N,,,0,0	,12/30	,CONC,6975,200 
01469.*A,CA93,CROWS LANDING,CROWS LANDING,CA,AWP,SFO,PR,37-24-28.7660N,121-06-33.7540W,PU,,NON-NPIAS,,N,,,0,0	,17/35	,CONC,7950,200 
01781.3*A,46CN,CRYSTAL,LLANO,CA,AWP,LAX,PR,34-29-04.9800N,117-49-35.2300W,PR,,NON-NPIAS,,N,,GLD  TOW,11,1500	,07/25	,ASPH-DIRT-G,4500,250 
01335.1*A,56CL,CYR AVIATION,BLYTHE,CA,AWP,LAX,PR,33-35-31.0890N,114-36-19.8430W,PR,,NON-NPIAS,,N,,,9,0	,16/34	,ASPH,2400,50 
01482.*A,CL18,DANBY AIRSTRIP,DANBY,CA,AWP,LAX,PR,34-33-17.9970N,115-21-21.9380W,PR,,NON-NPIAS,,N,,,0,0	,04/22	,DIRT,3800,55 
01853.01*A,77CA,DAULTON,MADERA,CA,AWP,SFO,PR,37-07-14.8060N,119-59-16.5830W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,DIRT,1700,95 
01430.1*A,67CL,DAVIS,COLUSA,CA,AWP,SFO,PR,39-12-03.6050N,122-02-54.9040W,PR,,NON-NPIAS,,N,,,5,0	,N/S	,GRAVEL,2000,75 
02410.*A,CA60,DEER CREEK RANCH,VINA,CA,AWP,SFO,PR,39-56-59.5700N,121-59-48.9420W,PR,,NON-NPIAS,,N,,,1,0	,16/34	,ASPH,3000,400 
02035.04*A,CN99,DEL MAR FARMS,PATTERSON,CA,AWP,SFO,PR,37-32-47.2000N,121-09-30.8800W,PR,,NON-NPIAS,,N,,,4,0	,12/30	,CONC,2873,34 
01497.*A,DLO,DELANO MUNI,DELANO,CA,AWP,LAX,PU,35-44-44.0000N,119-14-11.4000W,PU,,General Aviation,,N,100LL,INSTR,14,19000	,14/32	,ASPH-G,5659,75 
01817.62*H,2CN6,DEPARTMENT OF WATER & POWER LOS ANGELES,LOS ANGELES,CA,AWP,LAX,PR,34-03-29.0000N,118-14-55.0000W,PU,,NON-NPIAS,,N,,,0,0	,H1	,CONC,104,104 
01769.*A,6CA8,DEPUE,LENWOOD,CA,AWP,LAX,PR,34-51-23.0000N,117-08-15.0000W,PR,,NON-NPIAS,,N,,,10,0	,01/19	,DIRT,1800,90 
01961.51*A,63CA,DESERT AIR SKY RANCH,NORTH SHORE,CA,AWP,LAX,PR,33-28-52.1000N,115-52-26.9850W,PR,,NON-NPIAS,,N,,,3,0	,10/28	,DIRT,3000,100 
01507.*A,CN64,DESERT CENTER,DESERT CENTER,CA,AWP,LAX,PR,33-44-51.8000N,115-19-30.9000W,PR,,NON-NPIAS,,N,,,0,150	,05/23	,ASPH-F,4200,50 
01507.6*A,74CL,DI GIORGIO RANCH LANDING STRIP,DI GIORGIO,CA,AWP,LAX,PR,35-15-24.8590N,118-50-00.3510W,PR,,NON-NPIAS,,N,,,0,0	,17/35	,ASPH,2600,44 
01535.*A,90CL,DIAMOND M RANCH,ELK CREEK,CA,AWP,SFO,PR,39-34-19.5660N,122-36-33.9750W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,TURF,2400,75 
02379.3*A,43CL,DICK DALE SKYRANCH,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-12-22.0010N,115-59-52.0000W,PR,,NON-NPIAS,,N,,,2,200	,10/28	,DIRT,2800,85 
02379.3*A,43CL,DICK DALE SKYRANCH,TWENTYNINE PALMS,CA,AWP,LAX,PR,34-12-22.0010N,115-59-52.0000W,PR,,NON-NPIAS,,N,,,2,200	,12/30	,DIRT,2860,85 
01508.*A,D63,DINSMORE,DINSMORE,CA,AWP,SFO,PU,40-29-31.3000N,123-35-53.6000W,PU,,General Aviation,,N,,,0,1600	,09/27	,ASPH-G,2510,48 
01516.*A,28CA,DOS PALOS,DOS PALOS,CA,AWP,SFO,PR,36-57-44.8100N,120-37-48.6580W,PR,,NON-NPIAS,,N,,AGRI,4,13200	,13/31	,DIRT-G,2210,60 
01859.5*A,CN42,DOUBLE CREEK RANCH,MANTON,CA,AWP,SFO,PR,40-26-44.5630N,121-52-55.9660W,PR,,NON-NPIAS,,N,,,0,160	,06/24	,TURF-DIRT,3400,80 
01873.1*A,22CL,DOUBLE TREE FARM,MARYSVILLE,CA,AWP,SFO,PR,39-17-59.6080N,121-21-33.8630W,PR,,NON-NPIAS,,N,,,1,0	,13/31	,GRVL,1600,20 
01532.*A,23CN,DOUTHITT STRIP,EL CENTRO,CA,AWP,LAX,PR,32-47-20.1990N,115-31-46.9810W,PR,,NON-NPIAS,,N,,,21,0	,04/22	,DIRT,1800,100 
01532.*A,23CN,DOUTHITT STRIP,EL CENTRO,CA,AWP,LAX,PR,32-47-20.1990N,115-31-46.9810W,PR,,NON-NPIAS,,N,,,21,0	,08/26	,DIRT,1400,100 
01608.71*A,29CN,DUBEY,GEORGETOWN,CA,AWP,SFO,PR,38-50-59.6430N,120-50-03.7660W,PR,,NON-NPIAS,,N,,,1,0	,17/35	,DIRT,1300,60 
01521.*A,1O6,DUNSMUIR MUNI-MOTT,DUNSMUIR,CA,AWP,SFO,PU,41-15-47.0000N,122-16-19.6000W,PU,,General Aviation,,N,,,6,2200	,14/32	,ASPH-G,2700,60 
01515.*A,CL01,EAGLE FIELD,DOS PALOS,CA,AWP,SFO,PR,36-53-59.8140N,120-40-03.6570W,PR,,NON-NPIAS,,N,,,8,0	,12/30	,ASPH-G,2300,60 
02075.5*A,6CA6,EAGLE RIDGE RANCH,RAILROAD FLAT,CA,AWP,SFO,PR,38-19-39.6920N,120-28-37.7270W,PR,,NON-NPIAS,,N,,,1,0	,08/26	,ASPH-GRVL,4000,33 
01696.02*A,CA20,EAGLE'S NEST,IONE,CA,AWP,SFO,PR,38-25-49.6790N,121-00-53.7930W,PR,,NON-NPIAS,,N,,,20,0	,01/19	,ASPH,4000,100 
01327.*A,BIH,EASTERN SIERRA RGNL,BISHOP,CA,AWP,LAX,PU,37-22-23.2000N,118-21-49.0000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  GLD  INSTR  RNTL  TOW,45,26000	,07/25	,ASPH-F,5567,100 
01327.*A,BIH,EASTERN SIERRA RGNL,BISHOP,CA,AWP,LAX,PU,37-22-23.2000N,118-21-49.0000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  GLD  INSTR  RNTL  TOW,45,26000	,12/30	,ASPH-F,7498,100 
01327.*A,BIH,EASTERN SIERRA RGNL,BISHOP,CA,AWP,LAX,PU,37-22-23.2000N,118-21-49.0000W,PU,,General Aviation,,N,100LLA,AFRT  CHTR  GLD  INSTR  RNTL  TOW,45,26000	,16/34	,ASPH-F,5600,100 
02321.*A,1Q1,ECKERT FIELD,STRATHMORE,CA,AWP,SFO,PU,36-09-44.6000N,119-03-02.3000W,PR,,NON-NPIAS,,N,100LL,INSTR  TOW,25,3850	,13/31	,ASPH-P,2000,50 
01526.9*A,9L2,EDWARDS AF AUX NORTH BASE,EDWARDS,CA,AWP,LAX,PR,34-59-26.8250N,117-51-47.4900W,MA,,NON-NPIAS,,N,,,0,0	,06/24	,ASPH,5998,150 
01526.8*A,EDW,EDWARDS AFB,EDWARDS,CA,AWP,LAX,PR,34-54-29.1182N,117-53-07.9027W,MA,,NON-NPIAS,,Y,100  B+,,0,0	,04L/22R	,ASPH,12000,200 
01526.8*A,EDW,EDWARDS AFB,EDWARDS,CA,AWP,LAX,PR,34-54-29.1182N,117-53-07.9027W,MA,,NON-NPIAS,,Y,100  B+,,0,0	,04R/22L	,CONC,15024,300 
01526.8*A,EDW,EDWARDS AFB,EDWARDS,CA,AWP,LAX,PR,34-54-29.1182N,117-53-07.9027W,MA,,NON-NPIAS,,Y,100  B+,,0,0	,06/24	,CONC,8000,50 
01530.*A,NJK,EL CENTRO NAF,EL CENTRO,CA,AWP,LAX,PR,32-49-35.8760N,115-40-06.8060W,MN,,NON-NPIAS,,Y,,,0,0	,08/26	,PEM,9503,200 
01530.*A,NJK,EL CENTRO NAF,EL CENTRO,CA,AWP,LAX,PR,32-49-35.8760N,115-40-06.8060W,MN,,NON-NPIAS,,Y,,,0,0	,12/30	,PEM,6824,200 
02051.4*H,67CN,EL DORADO IRRIGATION DISTRICT,PLACERVILLE,CA,AWP,SFO,PR,38-46-06.6520N,120-32-55.7320W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH-CONC,114,50 
01537.8*A,99CL,EL MIRAGE FIELD ADELANTO,EL MIRAGE,CA,AWP,LAX,PR,34-37-29.9640N,117-36-18.2010W,PR,,NON-NPIAS,,N,,TOW,0,4250	,04/22	,ASPH,3700,150 
01537.8*A,99CL,EL MIRAGE FIELD ADELANTO,EL MIRAGE,CA,AWP,LAX,PR,34-37-29.9640N,117-36-18.2010W,PR,,NON-NPIAS,,N,,TOW,0,4250	,07/25	,ASPH-P,3200,150 
01537.8*A,99CL,EL MIRAGE FIELD ADELANTO,EL MIRAGE,CA,AWP,LAX,PR,34-37-29.9640N,117-36-18.2010W,PR,,NON-NPIAS,,N,,TOW,0,4250	,16/34	,ASPH-P,3700,150 
01539.*A,EMT,EL MONTE,EL MONTE,CA,AWP,LAX,PU,34-05-09.6320N,118-02-05.4430W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES  SURV,241,89307	,01/19	,ASPH-G,3995,75 
01853.1*A,49CL,EL PECO RANCH,MADERA,CA,AWP,SFO,PR,36-54-19.8080N,120-10-38.5960W,PR,,NON-NPIAS,,N,,,0,0	,NW/SE	,TRTD-DIRT,3000,50 
01356.1*A,L62,ELK HILLS-BUTTONWILLOW,BUTTONWILLOW,CA,AWP,LAX,PU,35-21-12.4000N,119-28-47.0000W,PU,,NON-NPIAS,,N,,,0,1200	,11/29	,ASPH-F,3260,50 
02455.1*A,O28,ELLS FIELD-WILLITS MUNI,WILLITS,CA,AWP,SFO,PU,39-27-04.6720N,123-22-20.2240W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,19,5500	,16/34	,ASPH-G,2995,75 
01515.2*A,76CL,EMMETT FIELD,DOS PALOS,CA,AWP,SFO,PR,37-05-19.8010N,120-30-03.6590W,PR,,NON-NPIAS,,N,,,0,0	,07/25	,ASPH,2350,50 
01979.01*A,0CA6,EMORY RANCH,OCOTILLO,CA,AWP,LAX,PR,32-44-58.0000N,116-00-58.0000W,PR,,NON-NPIAS,,N,,,0,0	,04/22	,ASPH,2400,40 
01654.1*A,86CL,ERNST FIELD,HEMET,CA,AWP,LAX,PR,33-35-50.0940N,116-52-58.0800W,PR,,NON-NPIAS,,N,,,3,0	,02/20	,DIRT-GRVL,3100,50 
01561.9*A,O63,EXETER,EXETER,CA,AWP,SFO,PU,36-14-32.9000N,119-08-58.9000W,PR,,NON-NPIAS,,N,,GLD  INSTR,3,400	,13/31	,ASPH-TRTD-G,2800,40 
01782.01*A,12CA,FABER VINEYARDS,LODI,CA,AWP,SFO,PR,38-06-34.7120N,121-10-08.8030W,PR,,NON-NPIAS,,N,,,0,0	,07/25	,TRTD-DIRT,1800,100 
01569.*A,O89,FALL RIVER MILLS,FALL RIVER MILLS,CA,AWP,SFO,PU,41-01-02.5000N,121-26-05.9000W,PU,,General Aviation,,N,100LL,,10,5000	,02/20	,ASPH-G,5000,75 
01568.5*A,L18,FALLBROOK COMMUNITY AIRPARK,FALLBROOK,CA,AWP,LAX,PU,33-21-15.1130N,117-15-03.1270W,PU,,General Aviation,,N,100LL,INSTR  RNTL  SALES,104,25400	,18/36	,ASPH-G,2160,60 
01635.*A,35CN,FARNSWORTH RANCH AIRSTRIP,GRIMES,CA,AWP,SFO,PR,39-05-59.6160N,121-56-03.8910W,PR,,NON-NPIAS,,N,,,0,0	,N/S	,GRAVEL-P,2600,50 
01782.03*A,CL11,FERDUN RANCH,LODI,CA,AWP,SFO,PR,38-08-04.7080N,121-13-10.8050W,PR,,NON-NPIAS,,N,,,1,0	,07/25	,DIRT,1680,20 
01709.*C,CN20,FERNDALE RESORT,KELSEYVILLE,CA,AWP,SFO,PR,39-00-10.6270N,122-47-48.9670W,PR,,NON-NPIAS,,N,,,0,75	,ALL/WAY	,WATER,15000,4000 
02119.11*A,34CA,FIDDYMENT FIELD,ROSEVILLE,CA,AWP,SFO,PR,38-47-31.6400N,121-22-22.8290W,PR,,NON-NPIAS,,N,,,3,0	,16/34	,TREATED,1800,30 
01570.41*A,F34,FIREBAUGH,FIREBAUGH,CA,AWP,SFO,PU,36-51-35.9590N,120-27-52.0830W,PU,,General Aviation,,N,,AGRI,12,10000	,12/30	,ASPH-G,3102,60 
02113.*A,RIR,FLABOB,RIVERSIDE/RUBIDOUX/,CA,AWP,LAX,PU,33-59-19.6350N,117-24-35.6750W,PR,,NON-NPIAS,,N,100LL,AVNCS  CHTR  INSTR  RNTL  SALES,202,40000	,06/24	,ASPH-F,3190,50 
01587.999*A,CN38,FLYING B RANCH,FRANKLIN,CA,AWP,SFO,PR,38-20-28.6830N,121-26-14.8280W,PR,,NON-NPIAS,,N,,,2,0	,14/32	,TURF,1385,50 
01896.5*A,CN44,FLYING BULL,MODESTO,CA,AWP,SFO,PR,37-37-13.7000N,121-09-46.7000W,PR,,NON-NPIAS,,N,,,2,0	,02/20	,TURF,1800,100 
02052.005*A,CA03,FLYING M,PLANADA,CA,AWP,SFO,PR,37-20-59.7850N,120-17-38.6610W,PR,,NON-NPIAS,,N,,,3,0	,02/20	,TRTD,3000,30 
01457.81*A,CA04,FLYING N RANCH,COTTONWOOD,CA,AWP,SFO,PR,40-20-46.5510N,122-20-20.0140W,PR,,NON-NPIAS,,N,,,5,0	,16/34	,TURF,2600,150 
01359.2*A,62CL,FLYING S RANCH,CALIENTE,CA,AWP,LAX,PR,35-24-25.8450N,118-30-00.3120W,PR,,NON-NPIAS,,N,,,8,0	,07/25	,DIRT,3750,50 
02078.01*A,CA76,FLYING T RANCH,RAMONA,CA,AWP,LAX,PR,33-04-13.1600N,116-45-07.0810W,PR,,NON-NPIAS,,N,,,2,0	,03/21	,TURF-DIRT,2000,75 
01574.*C,C39,FOLSOM LAKE,FOLSOM,CA,AWP,SFO,PU,38-42-26.0000N,121-08-00.0000W,PU,,NON-NPIAS,,N,MOGAS,,0,0	,ALL/WAY	,WATER,10000,4000 
01578.9*A,A28,FORT BIDWELL,FORT BIDWELL,CA,AWP,SFO,PU,41-52-35.4000N,120-08-47.9000W,PU,,NON-NPIAS,,N,,,0,10	,16/34	,GRVL-DIRT-G,3660,50 
01581.2*A,82CL,FORT BRAGG,FORT BRAGG,CA,AWP,SFO,PR,39-28-27.5970N,123-47-44.0540W,PR,,NON-NPIAS,,N,,,12,820	,16/34	,ASPH-TURF,1850,60 
01773.*A,90CA,FOWLER'S,LINDEN,CA,AWP,SFO,PR,38-00-12.7230N,121-07-06.7950W,PR,,NON-NPIAS,,N,,,2,0	,17/35	,TURF,1800,60 
01588.*A,F72,FRANKLIN FIELD,FRANKLIN,CA,AWP,SFO,PU,38-18-14.4000N,121-25-45.5000W,PU,,General Aviation,,N,,,12,32400	,09/27	,ASPH-G,3031,60 
01588.*A,F72,FRANKLIN FIELD,FRANKLIN,CA,AWP,SFO,PU,38-18-14.4000N,121-25-45.5000W,PU,,General Aviation,,N,,,12,32400	,18/36	,ASPH-G,3123,60 
01668.11*A,1C9,FRAZIER LAKE AIRPARK,HOLLISTER,CA,AWP,SFO,PU,36-57-10.2000N,121-27-45.5000W,PR,,NON-NPIAS,,N,,,88,9360	,05/23	,TURF-G,2500,100 
01668.11*A,1C9,FRAZIER LAKE AIRPARK,HOLLISTER,CA,AWP,SFO,PU,36-57-10.2000N,121-27-45.5000W,PR,,NON-NPIAS,,N,,,88,9360	,05W/23W	,WATER-G,3000,60 
01931.6*A,F70,FRENCH VALLEY,MURRIETA/TEMECULA,CA,AWP,LAX,PU,33-34-27.0447N,117-07-42.5035W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,200,98185	,18/36	,ASPH-G,6000,75 
01590.*A,FCH,FRESNO CHANDLER EXECUTIVE,FRESNO,CA,AWP,SFO,PU,36-43-55.6000N,119-49-13.2000W,PU,,Reliever,,N,100LL,AVNCS  CHTR  INSTR  RNTL  SALES,121,26250	,12/30	,ASPH-G,3627,75 
