airport,eic,type,fractions|
FAT,default,diurnal_weekday,0.00871300977664|0.00203983506476|0.000291405009252|5.82810018504e-05|4.37107513878e-05|0.0548569929917|0.0802383692976|0.0242740372707|0.0305246747192|0.0604373989189|0.0472221817493|0.0768289306893|0.0832544111433|0.040534436787|0.0236766570017|0.0698206402168|0.0945317850014|0.0515204056358|0.03527457637|0.0484315125377|0.0776011539638|0.0480235455247|0.0215785409351|0.0202235076421
FAT,default,diurnal_weekend,0.00802981404641|0.00157522667896|0.000345781466113|7.6840325803e-05|0.0|0.0576302443522|0.0870985092977|0.0269709543568|0.0335792223759|0.0592438911941|0.0489088673736|0.0795297372061|0.0750729983095|0.0414169356078|0.0237436606731|0.0691562932227|0.0790302750884|0.050330413401|0.0379207007838|0.0494851698171|0.0792607960658|0.049139388351|0.0220915936684|0.0203626863378
FAT,default,monthly,0.9002537731|0.9091665036|0.9047357446|0.9972884558|1.020395509|1.05633843|1.055379786|1.06733171|1.04540325|1.043676861|1.013498253|0.9865317242
FAT,default,weekly,1.02388523257|0.998299193966|0.998668934408|1.02913554685|1.02529024625|0.896694520447|1.02802632552
ONT,default,diurnal_weekday,0.014508164104|0.00534923316786|0.000730626969268|9.13283711585e-05|0.000848049160758|0.0471906740686|0.0571128492495|0.0430091393606|0.0485932169114|0.0723973045084|0.0783923597294|0.048638881097|0.0540142080852|0.0468057902187|0.0410586262908|0.044620432766|0.0525660010568|0.0489128662105|0.0543664746596|0.0574324985485|0.0550188201679|0.0477255973854|0.0428917171691|0.0377251407435
ONT,default,diurnal_weekend,0.0147284908991|0.00542828401693|0.000740220547763|0.000132860098316|0.00111982082867|0.0376373678517|0.0539601799305|0.0359671266157|0.0512460379221|0.0747622753241|0.0770398770095|0.0604323647199|0.0619887258717|0.0465389944389|0.0438628124585|0.0443183327956|0.0540740600148|0.0493100764895|0.0532009793687|0.0550610207452|0.0581737430486|0.0495757966861|0.0368971473039|0.0338034050145
ONT,default,monthly,0.9404199478|0.9275663647|0.941964715|0.9907450306|1.016227968|1.025567135|1.014282706|1.04374771|1.028227567|1.034650747|1.027695481|1.008904627
ONT,default,weekly,1.05057772599|1.03266822022|1.03311001068|1.04231964268|1.05081561317|0.825298572677|0.965210214584
MRY,default,diurnal_weekday,0.00986616334935|0.00244509265614|0.00055765271105|8.57927247769e-05|4.28963623885e-05|0.0737817433082|0.0645161290323|0.0154426904598|0.0317433081675|0.0415665751544|0.053663349348|0.0488160603981|0.0601407000686|0.0646877144818|0.0546928620453|0.0714653397392|0.0841626630062|0.0676475634866|0.050017158545|0.0389927934111|0.0345315717227|0.0371482498284|0.0342741935484|0.0597117364447
MRY,default,diurnal_weekend,0.00816419095136|0.00226783081982|0.000113391540991|0.0|0.0|0.0732509354802|0.0701893638735|0.0156480326568|0.0292550175757|0.0464905318063|0.0599841251843|0.0539743735117|0.0614582152171|0.063612654496|0.0543145481347|0.0704161469554|0.0822088672185|0.0578296859054|0.0416146955437|0.038553123937|0.0318630230185|0.0386665154779|0.0357183354122|0.0644063952829
MRY,default,monthly,0.9359408943|0.9579145616|0.9194372343|1.019058216|1.01735895|1.056197563|1.080072858|1.03569635|0.9436426023|1.043764806|0.995561894|0.9953540702
MRY,default,weekly,1.04920481778|0.985808098098|1.00323674956|1.0019296007|1.03852976876|0.90759702468|1.01369394043
CLD,default,diurnal_weekday,0.0|0.0|0.0|0.0|0.0|0.0506329113924|0.0126582278481|0.0189873417722|0.102848101266|0.0142405063291|0.0727848101266|0.0664556962025|0.104430379747|0.0506329113924|0.0110759493671|0.137658227848|0.115506329114|0.0300632911392|0.00316455696203|0.0237341772152|0.10917721519|0.0332278481013|0.0205696202532|0.0221518987342
CLD,default,diurnal_weekend,0.0|0.0|0.0|0.0|0.0|0.0582959641256|0.0179372197309|0.0134529147982|0.134529147982|0.0134529147982|0.0986547085202|0.0762331838565|0.107623318386|0.0762331838565|0.0|0.0896860986547|0.143497757848|0.0179372197309|0.0|0.0134529147982|0.0582959641256|0.0538116591928|0.0224215246637|0.00448430493274
CLD,default,monthly,0|5.315707455|5.587780224|1.096512321|0|0|0|0|0|0|0|0
CLD,default,weekly,1.1298245614|1.03157894737|1.02339181287|0.982456140351|1.00701754386|0.736842105263|1.08888888889
BFL,default,diurnal_weekday,0.00846843835311|0.00206139617806|0.00077998774305|0.000111426820436|0.0|0.112708228871|0.104184077107|0.00434564599699|0.00328709120285|0.0282466989804|0.022508217728|0.0875257674522|0.126692294835|0.0868014931194|0.0247367541367|0.0465764109421|0.0461864170706|0.0143740598362|0.0453507159173|0.027633851468|0.0683603543373|0.0860215053763|0.021728229985|0.0313109365424
BFL,default,diurnal_weekend,0.00621118012422|0.00326086956522|0.000465838509317|0.0|0.0|0.114596273292|0.108695652174|0.00357142857143|0.00574534161491|0.0312111801242|0.0253105590062|0.0937888198758|0.125931677019|0.0653726708075|0.0229813664596|0.0423913043478|0.047049689441|0.014751552795|0.0498447204969|0.0318322981366|0.0703416149068|0.0931677018634|0.0195652173913|0.0239130434783
BFL,default,monthly,0.8600433237|0.9050706935|0.982768607|1.055469647|1.053311486|1.09091825|1.064424406|1.05717685|0.9975536214|0.9972637192|1.016526113|0.9194732837
BFL,default,weekly,1.04588133995|1.00082004182|1.0341137398|1.03353971053|1.03727090082|0.838943786133|1.00943048095
RDD,default,diurnal_weekday,0.0159701889806|0.004657971786|0.0009315943572|0.000133084908171|0.00998136811286|0.139339898855|0.0452488687783|0.00385946233697|0.0268831514506|0.11791322864|0.0765238221986|0.0227575192973|0.0143731700825|0.00705350013308|0.0183657173277|0.0727974447698|0.0954218791589|0.0959542187916|0.033404311951|0.017833377695|0.0310087836039|0.0487090763907|0.0335373968592|0.0673409635347
RDD,default,diurnal_weekend,0.0108164689463|0.00209351011863|0.00174459176553|0.0|0.00907187718074|0.134333565946|0.0537334263782|0.00418702023726|0.0324494068388|0.111304954641|0.0823447313329|0.0191905094208|0.0115143056525|0.00837404047453|0.0184926727146|0.0704815073273|0.0952547103978|0.0983949755757|0.0300069783671|0.0184926727146|0.0317515701326|0.0505931612003|0.0321004884857|0.0732728541521
RDD,default,monthly,0.8379986459|0.8750191515|0.9288386075|1.01729402|1.024220567|1.090041689|1.038982061|1.023085068|0.986786933|1.067369549|1.074788146|1.035575562
RDD,default,weekly,1.02639691715|1.02302504817|1.00953757225|1.01156069364|0.996724470135|0.950867052023|0.981888246628
STS,default,diurnal_weekday,0.00459521556967|0.0017569941884|0.000540613596432|0.0|0.0|0.0812271928639|0.0421678605217|0.00148668739019|0.00148668739019|0.00527098256521|0.0435193945128|0.0983916745506|0.20610893364|0.0629814839843|0.0395999459386|0.0133801865117|0.0477091498851|0.0831193404514|0.0656845519665|0.070144614137|0.0141911069063|0.0451412353021|0.0293282876064|0.0421678605217
STS,default,diurnal_weekend,0.00448895027624|0.00207182320442|0.000345303867403|0.0|0.0|0.0808011049724|0.0404005524862|0.00345303867403|0.00345303867403|0.00621546961326|0.0448895027624|0.103936464088|0.202002762431|0.0555939226519|0.0448895027624|0.0117403314917|0.0545580110497|0.078729281768|0.0673342541436|0.0700966850829|0.0158839779006|0.0404005524862|0.0296961325967|0.0390193370166
STS,default,monthly,0.6223659697|0.6677816231|0.7037434721|0.8030011019|0.8389905889|1.171339365|1.316940146|1.339863386|1.332413333|1.071661476|1.031584011|1.100315526
STS,default,weekly,1.02739193783|0.985235551238|0.97435648373|1.01719281204|1.02671199611|0.957357940748|1.01175327829
SJC,default,diurnal_weekday,0.00289456545336|0.000787965040082|0.00024121378778|6.96839831365e-05|4.02022979634e-05|0.00161077207173|0.0622814000048|0.0535494608872|0.061171816581|0.0655083044547|0.0557793483476|0.0549967436139|0.0659290885067|0.0589794512654|0.0484544896586|0.0490092813705|0.0473073840901|0.0527346943151|0.0628576329423|0.0581566442338|0.0597888575311|0.0612012982662|0.0597754567651|0.0168742445318
SJC,default,diurnal_weekend,0.002994258263|0.000839050392379|0.000222101574453|7.40338581511e-05|4.11299211951e-05|0.00170277873748|0.0578039912476|0.0521116101542|0.0534524455851|0.063052169192|0.0596219337644|0.06064195581|0.0716565487061|0.0638254117105|0.0510998140928|0.0507954526759|0.0498412385042|0.0523748416498|0.0614069723442|0.0585361038448|0.0571212345557|0.0596959676225|0.0556816873139|0.0154072684797
SJC,default,monthly,0.9059547565|0.9006989024|0.9267552852|0.9749062456|1.00669317|1.055736036|1.052654476|1.066807413|1.043548784|1.046388108|1.023409044|0.9964477782
SJC,default,weekly,1.06614794645|1.04169572592|1.04806349168|1.05489822693|1.06896391397|0.744943690757|0.9752870043
SBP,default,diurnal_weekday,0.0128828477127|0.00259076551798|0.00088724846506|3.54899386024e-05|0.0|0.0433332150335|0.0813074493381|0.0126699080811|0.0344607303829|0.0571033112113|0.0405295098839|0.0600134861767|0.0816978386627|0.0585229087554|0.0407424495156|0.0710153671434|0.0730382936438|0.04088440927|0.0477339674202|0.0636334599141|0.0610072044575|0.0440430138056|0.0180643787486|0.0538027469212
SBP,default,diurnal_weekend,0.0117434507678|0.00252935862692|0.00063233965673|9.03342366757e-05|0.0|0.0428184281843|0.0836495031617|0.0130081300813|0.0345076784101|0.0582655826558|0.0420957542909|0.0630532971996|0.0825654923216|0.0591689250226|0.0453477868112|0.0730803974706|0.0785907859079|0.0383017163505|0.039566395664|0.0581752484192|0.0607046070461|0.0456187895212|0.0154471544715|0.0510388437218
SBP,default,monthly,0.8587619162|1.027151112|1.058599595|1.035905316|1.041796427|1.037455608|0.9790846026|0.9703829619|0.9791646177|1.001288789|1.005519587|1.004889468
SBP,default,weekly,1.01949193569|0.994700231865|1.00272632303|1.00183453512|1.0068285474|0.966341376411|1.00807705048
SNA,default,diurnal_weekday,0.0|0.0|0.0|0.0|0.0|0.0|0.0497620385259|0.0536882414098|0.0700355812136|0.0629483975539|0.071979309944|0.0657219240977|0.0693220196698|0.0624479358376|0.0573335399756|0.0604428601871|0.0574045732515|0.0506628696152|0.0580245000226|0.0595032836746|0.05908354159|0.0568879676088|0.0338731862299|0.000878229592463
SNA,default,diurnal_weekend,0.0|0.0|0.0|0.0|0.0|0.0|0.0280387623592|0.0499680259727|0.0665354911702|0.0682866840474|0.0772098971912|0.0685719907521|0.0771016774067|0.0675586600423|0.0608490334006|0.0658271434896|0.0604653450735|0.0501746273796|0.0606916228049|0.061163854592|0.0550346795219|0.0534704117271|0.027989571548|0.00106252152098
SNA,default,monthly,0.9656425881|0.9423853843|0.9795369322|0.9968537731|1.006838602|1.024917483|1.021649686|1.039010454|1.013668317|1.020704298|1.001205424|0.9875870573
SNA,default,weekly,1.06145483629|1.04096664957|1.05173826269|1.05566913572|1.06050189737|0.763133904935|0.966535313437
LGB,default,diurnal_weekday,0.00124633951099|0.000547173443849|0.000233055355713|7.09298908693e-05|5.06642077638e-05|1.01328415528e-05|0.0421830193841|0.0552239864625|0.0521638683136|0.0636950420006|0.0878517362624|0.0574836101288|0.0578990566325|0.0524982520848|0.0541904366241|0.0578281267416|0.0690755808651|0.0631985327645|0.0628844146764|0.0613340899188|0.0777188947096|0.0689235882419|0.0102949670176|0.00339450192017
LGB,default,diurnal_weekend,0.00130820901155|0.000427683715314|0.000176105059247|7.547359682e-05|2.51578656067e-05|2.51578656067e-05|0.0408563737453|0.0526554127148|0.0559259352437|0.0641022415658|0.0861656897029|0.0637500314473|0.0590455105789|0.0512465722408|0.0517497295529|0.0637500314473|0.0752974917608|0.0621650859141|0.0601021409344|0.0580643538202|0.0760773855946|0.0652091876525|0.00923293667765|0.00256610229188
LGB,default,monthly,0.9348788196|0.9380533197|0.9596511503|0.9942784988|1.010728121|1.043979229|1.048439951|1.061549707|1.009848462|0.9953199015|0.9906718972|1.012600943
LGB,default,weekly,1.01072682356|0.988781981826|0.985242491224|0.997832964937|1.00754128202|0.983270489317|1.02660396712
SFO,default,diurnal_weekday,0.0198183799961|0.00645503252564|0.00144226224287|0.000477522120748|0.00297825133177|0.0163302869415|0.0324197928475|0.0484624353305|0.0611260634159|0.0651587417656|0.0609765852563|0.0635306418107|0.0589824658079|0.0576395863414|0.0534032944986|0.0517574187627|0.0528910288057|0.0478903783737|0.0499741847178|0.0522559486248|0.0515190616973|0.0539301040126|0.0542581479737|0.0363223847988
SFO,default,diurnal_weekend,0.0188199938008|0.00634969835002|0.00152509557116|0.000507616493493|0.00314228086016|0.0155047639583|0.0315396053169|0.0484594064032|0.0609903463023|0.0672996150201|0.0635553818579|0.066088972144|0.0604714993554|0.0593978680107|0.0531290289252|0.0517970971524|0.052688795152|0.0473228845195|0.0495577447453|0.0513568633793|0.0503618452084|0.0514669218226|0.0535018799779|0.0351647956731
SFO,default,monthly,0.9142363184|0.9116043004|0.9694310518|0.9817978007|0.9960548058|1.055674924|1.069432982|1.105652775|1.002519874|1.018763096|0.9975981103|0.9772339621
SFO,default,weekly,1.04259363689|1.00786935551|1.01835152957|1.03474032553|1.0445195284|0.859317814883|0.99260780922
SBA,default,diurnal_weekday,0.0140149289461|0.00165393571413|0.000500533176645|0.00010881156014|8.70492481121e-05|0.065199886836|0.0416313029096|0.0184109159757|0.0241561663511|0.0616091053514|0.069117103001|0.0478988487737|0.0697699723619|0.0876150682248|0.0560597157842|0.0677896019673|0.077604404692|0.0712280472677|0.0533394267807|0.0394115470828|0.0466583969881|0.0348196992448|0.0158212008444|0.0354943309177
SBA,default,diurnal_weekend,0.00997608074208|0.00256694475235|0.000350037920775|0.0|0.0|0.0656904497987|0.0436964004434|0.0176769149991|0.024852692375|0.0597398051456|0.0717577737588|0.0471967796511|0.0746747564319|0.0935184645003|0.0556560294032|0.0648153549968|0.076074908115|0.0696575462342|0.0543142173735|0.0392625867802|0.0409544367306|0.0351204713844|0.0154016685141|0.0370456799487
SBA,default,monthly,0.919567268|0.9088195557|0.9070523367|0.9940342226|1.015950918|1.043446409|1.051254232|1.067131384|1.066029323|1.074042614|1.018161267|0.9345104696
SBA,default,weekly,1.02161922272|1.01407468459|1.0185126482|1.02650098269|1.01751410638|0.888036518101|1.01374183732
LAX,default,diurnal_weekday,0.0202887301287|0.00599010330758|0.00133985793293|0.00043534212018|0.00343613875796|0.0189341905701|0.0331670692411|0.0491349330773|0.0693572767244|0.0666947958105|0.0619105008094|0.0579943367224|0.0554390955097|0.0506050106474|0.0493730307472|0.0534309044392|0.0502705249128|0.0506305439096|0.0531691885019|0.0531525918814|0.0505443691497|0.055828477758|0.048774275749|0.0400987115916
LAX,default,diurnal_weekend,0.0210212578061|0.0062203438536|0.00138424553362|0.00042228249823|0.003797038065|0.0168615123671|0.0315520371188|0.047087126867|0.0706385752434|0.0682345437597|0.0626747829012|0.0590161693896|0.0557798383762|0.0517006945759|0.0500623786595|0.0540854517547|0.0504461125479|0.0513905534879|0.0532689221108|0.0533635414257|0.0495174414937|0.0548108665027|0.0476127897278|0.0390514939339
LAX,default,monthly,0.9316776215|0.9442462482|0.9874899451|0.9922365474|0.995926307|1.06357821|1.072664117|1.068909108|0.9960654427|0.9967423734|0.9708756423|0.9795884375
LAX,default,weekly,1.03904847817|1.00470829442|1.00994529526|1.03428965251|1.04284112793|0.871791968528|0.997375183176
MMH,default,diurnal_weekday,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00410509031199|0.0385878489327|0.076354679803|0.051724137931|0.0262725779967|0.0303776683087|0.0205254515599|0.154351395731|0.348111658456|0.193760262726|0.0303776683087|0.0147783251232|0.00821018062397|0.000821018062397|0.000821018062397|0.000821018062397
MMH,default,diurnal_weekend,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0036496350365|0.029197080292|0.0748175182482|0.0456204379562|0.0675182481752|0.0529197080292|0.0164233576642|0.129562043796|0.335766423358|0.197080291971|0.0273722627737|0.00912408759124|0.00912408759124|0.00182481751825|0.0|0.0
MMH,default,monthly,2.160253998|2.301678155|2.672068022|0.6044279904|0.3190528981|0.3434249945|0.3190528981|0.3722283812|0.3571619943|0.3722283812|0.3571619943|1.821260294
MMH,default,weekly,1.00679501699|0.911664779162|0.848244620612|0.963193657984|1.0979614949|1.16534541336|1.00679501699
PSP,default,diurnal_weekday,0.004872969596|0.00126336248785|0.000430376232126|4.16493127863e-05|1.38831042621e-05|0.0334999305845|0.0758433985839|0.0287380258226|0.0275857281688|0.043009857004|0.0634596695821|0.093113980286|0.0876301541025|0.0665417187283|0.0552686380675|0.0533666527836|0.0607941135638|0.0618908788005|0.0516590309593|0.0497292794669|0.049312786339|0.0422879355824|0.0347910592809|0.0148549215605
PSP,default,diurnal_weekend,0.00532995769346|0.00123255271661|0.000333122355841|6.66244711683e-05|3.33122355841e-05|0.0313468136847|0.0741863486459|0.0286152103668|0.0285818981312|0.0446383956827|0.0652253572737|0.0941736899963|0.0871781205237|0.0765848296079|0.0658916019854|0.0559312435458|0.0545987541224|0.0571637962624|0.0489689863087|0.0476698091209|0.0483360538326|0.0395749358739|0.0297811386122|0.0145574469503
PSP,default,monthly,1.188621574|1.346788563|1.490702195|1.332411336|0.9662662736|0.6618008054|0.6215579523|0.6319268523|0.6741820401|0.8797435632|1.09157251|1.114426334
PSP,default,weekly,1.01039696616|0.94461484189|0.965467569501|1.00202843732|1.01835392801|1.0136209076|1.04551734951
OXR,default,diurnal_weekday,0.02253|0.000121|0|0|0|0.050978|0.037207|0.021744|0.007671|0.168277|0.027664|0.121406|0.071515|0.016369|0.012141|0.024885|0.131312|0.061911|0.010329|0.045905|0.071575|0.0241|0.045603|0.026758
OXR,default,diurnal_weekend,0.019487|0|0.000187|0|0|0.062395|0.041222|0.020986|0.004497|0.157017|0.029979|0.147086|0.059959|0.01855|0.012741|0.026981|0.147086|0.053776|0.013491|0.038973|0.056586|0.021735|0.042721|0.024546
OXR,default,monthly,1.069757|1.092713|1.11117|1.093188|0.910019|1.028164|0.975635|0.991233|0.962028|0.949281|0.900339|0.916473
OXR,default,weekly,1.06814|1.048423|1.055185|1.060404|1.059943|0.765408|0.942496
OXR,81080411400000,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
