airport,eic,type,fractions|
SJC,default,diurnal_weekday,0.014805|0.000959|0.000198|0.000061|0.000018|0.001368|0.052804|0.052370|0.066588|0.062113|0.059582|0.061529|0.067865|0.054389|0.048745|0.049902|0.055070|0.056828|0.055349|0.060423|0.060482|0.059275|0.044993|0.014284
SJC,default,diurnal_weekend,0.010081|0.000970|0.000233|0.000034|0.000006|0.001639|0.043773|0.037696|0.056166|0.065114|0.064061|0.068985|0.076057|0.061807|0.052757|0.054742|0.060735|0.060281|0.057530|0.062893|0.057386|0.052221|0.040897|0.013936
SJC,default,monthly,0.996686|0.998114|1.014763|1.027835|0.881522|1.000160|1.068167|1.060012|1.020199|1.019852|0.935421|0.977269
SJC,default,weekly,1.053367|1.043545|1.051503|1.052169|1.053017|0.792438|0.953961
FAT,default,diurnal_weekday,0.019801|0.002938|0.000290|0.000050|0.000500|0.039084|0.071225|0.036103|0.041530|0.053055|0.049188|0.054820|0.074175|0.063617|0.070098|0.055522|0.049348|0.042505|0.057535|0.055140|0.043056|0.059212|0.031640|0.029568
FAT,default,diurnal_weekend,0.019554|0.003023|0.000365|0.000011|0.000491|0.039932|0.072860|0.036852|0.041176|0.056362|0.051239|0.058473|0.075358|0.066562|0.070612|0.056099|0.047839|0.043196|0.054126|0.053578|0.042922|0.054434|0.028158|0.026778
FAT,default,monthly,1.015669|1.017713|1.027865|1.017289|0.900730|1.021028|1.068433|1.063656|0.989616|1.000939|0.907680|0.969382
FAT,default,weekly,1.034984|1.001941|1.016738|1.029723|1.031218|0.878399|1.006997
BUR,default,diurnal_weekday,0.016661|0.000229|0.000083|0.000025|0.000018|0.000000|0.027618|0.071359|0.054887|0.065353|0.065623|0.056603|0.061376|0.059604|0.057115|0.058164|0.061497|0.061711|0.058067|0.055541|0.069994|0.076425|0.018860|0.003187
BUR,default,diurnal_weekend,0.010639|0.000206|0.000049|0.000022|0.000000|0.000000|0.025582|0.041154|0.050811|0.067415|0.070929|0.063939|0.073010|0.066997|0.064596|0.063705|0.065183|0.066074|0.060121|0.059062|0.066101|0.065161|0.016387|0.002857
BUR,default,monthly,1.001927|1.005163|1.015688|1.029788|0.893307|0.992007|1.045027|1.045219|1.023412|1.023150|0.931916|0.993396
BUR,default,weekly,1.053213|1.046167|1.053244|1.051064|1.051228|0.788048|0.957036
OXR,default,diurnal_weekday,0.02253|0.000121|0|0|0|0.050978|0.037207|0.021744|0.007671|0.168277|0.027664|0.121406|0.071515|0.016369|0.012141|0.024885|0.131312|0.061911|0.010329|0.045905|0.071575|0.0241|0.045603|0.026758
OXR,default,diurnal_weekend,0.019487|0|0.000187|0|0|0.062395|0.041222|0.020986|0.004497|0.157017|0.029979|0.147086|0.059959|0.01855|0.012741|0.026981|0.147086|0.053776|0.013491|0.038973|0.056586|0.021735|0.042721|0.024546
OXR,default,monthly,1.069757|1.092713|1.11117|1.093188|0.910019|1.028164|0.975635|0.991233|0.962028|0.949281|0.900339|0.916473
OXR,default,weekly,1.06814|1.048423|1.055185|1.060404|1.059943|0.765408|0.942496
OXR,81080411400000,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400044,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400045,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400046,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
CMA,81080411400000,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400044,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400045,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400046,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
OXR,81081014000000,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000044,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000045,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000046,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
CMA,81081014000000,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
