/MONTHLY/
    1  83  83  83  83  83  83  83  83  83  83  83  83  996
    2   0 616   0   0   0 333   5   0  40   5   0   0  999
    3  78  79  81  82  83  84  84  85  85  85  86  88 1000
    4   0   0  31 697  43  56 136  37   0   0   0   0 1000
    5   0   0  20 435  33  24  53  77 358   0   0   0 1000
    6   0   0   0   0  81  18 605   0   0 296   0   0 1000
    7  79  99 104 102  54 102 106 106  99  37   6 106 1000
    8   0   0  12   0  32  38   0 121 143 221 192 240  999
    9   0   0  11  25   0   0   0 129 237 365 229   3  999
   10   0   0  14 186 182 182 188 188  61   0   0   0 1001
   11   0   0   0   0  82  68 256 262 293  39   0   0 1000
   12   0   0   0   0 116  67 258 314 189  56   0   0 1000
   13   0   0   0  70 288 206  82 121 161  72   0   0 1000
   14   0   0   0 143 143 143 143 143 143   0 142   0 1000
   15 105  49 156  70  70 109 104  72  67  88  51  59 1000
   16  40 100  60 180  60 150 110  90  60  60  50  40 1000
   17  10 110  10  10  10 210  70 510  10  10  10  30 1000
   18  90  80  90  80  90  70  80  70  80  90  90  90 1000
   19  90 110 130 120 110 150  40  50  40  60  60  40 1000
   20  80 130 100 140 110 150  50  80  20  40  70  30 1000
   21  20 100  30 160 100 230 130 140  10  40  20  20 1000
   22 110  90  80  80  80  80  80  80  80  80  80  80 1000
   23   0   0   0 861   0   0   0   0   0   5 134   0 1000
   24 111  97 112  65 100  13 111 113 112 104  52  10 1000
   25  87  89 101  31 101  97 101 100  97  99  97   0 1000
   26   0   0   0   0   0   0  11   5  99 165 407 313 1000
   27  84 113  51  65  77  16   9 228 107  70  84  96 1000
   28   0   0   0 100 200 200 200 200 100   0   0   0 1000
   29   0   0   0 150 240 230 240 140   0   0   0   0 1000
   30   0   0   0  94 292 283 292  39   0   0   0   0 1000
   31 109  99 107  75  74  75  58  59   2 117  79 145  999
   32 105 105 116 116 116  97  65  55  80  74  27  44 1000
   33  54 105  98  41  44  74 116 111   0 132 164  59  998
   34  63  18  61 116 103 198  65  70  59  76  92  80 1001
   35   9  70 125 141 152 127 131 129  15  77   3  22 1001
   36  57  46  61  41  50  70  68  71 146 160 120 112 1002
   37 300 300   0   0   0   0   0   0  33  33  33 300  999
   38   0   0  12 182 191 185 191 191  47   0   0   0  999
   39 166 166 167 167 167 167   0   0   0   0   0   0 1000
   40 333 333 333   0   0   0   0   0   0   0   0   0  999
   41  60  40  82  60 258  50  60  40 120  40  90 100 1000
   42  43  31  71 101  71  30  90 163  89 147  65  99 1000
   43 142 126  81  90  92  37  67  89  81  75  68  51  999
